Entity,Year,Total biomass relative to maximum sustainable yield
Albacore tuna Northern Atlantic,1930,2.72
Albacore tuna Northern Atlantic,1931,2.69
Albacore tuna Northern Atlantic,1932,2.65
Albacore tuna Northern Atlantic,1933,2.63
Albacore tuna Northern Atlantic,1934,2.61
Albacore tuna Northern Atlantic,1935,2.57
Albacore tuna Northern Atlantic,1936,2.53
Albacore tuna Northern Atlantic,1937,2.51
Albacore tuna Northern Atlantic,1938,2.49
Albacore tuna Northern Atlantic,1939,2.48
Albacore tuna Northern Atlantic,1940,2.46
Albacore tuna Northern Atlantic,1941,2.45
Albacore tuna Northern Atlantic,1942,2.44
Albacore tuna Northern Atlantic,1943,2.43
Albacore tuna Northern Atlantic,1944,2.41
Albacore tuna Northern Atlantic,1945,2.4
Albacore tuna Northern Atlantic,1946,2.36
Albacore tuna Northern Atlantic,1947,2.33
Albacore tuna Northern Atlantic,1948,2.31
Albacore tuna Northern Atlantic,1949,2.29
Albacore tuna Northern Atlantic,1950,2.26
Albacore tuna Northern Atlantic,1951,2.2
Albacore tuna Northern Atlantic,1952,2.16
Albacore tuna Northern Atlantic,1953,2.12
Albacore tuna Northern Atlantic,1954,2.1
Albacore tuna Northern Atlantic,1955,2.05
Albacore tuna Northern Atlantic,1956,2.03
Albacore tuna Northern Atlantic,1957,1.98
Albacore tuna Northern Atlantic,1958,1.94
Albacore tuna Northern Atlantic,1959,1.87
Albacore tuna Northern Atlantic,1960,1.81
Albacore tuna Northern Atlantic,1961,1.75
Albacore tuna Northern Atlantic,1962,1.72
Albacore tuna Northern Atlantic,1963,1.65
Albacore tuna Northern Atlantic,1964,1.57
Albacore tuna Northern Atlantic,1965,1.5
Albacore tuna Northern Atlantic,1966,1.43
Albacore tuna Northern Atlantic,1967,1.4
Albacore tuna Northern Atlantic,1968,1.34
Albacore tuna Northern Atlantic,1969,1.31
Albacore tuna Northern Atlantic,1970,1.29
Albacore tuna Northern Atlantic,1971,1.26
Albacore tuna Northern Atlantic,1972,1.21
Albacore tuna Northern Atlantic,1973,1.18
Albacore tuna Northern Atlantic,1974,1.16
Albacore tuna Northern Atlantic,1975,1.13
Albacore tuna Northern Atlantic,1976,1.12
Albacore tuna Northern Atlantic,1977,1.07
Albacore tuna Northern Atlantic,1978,1.03
Albacore tuna Northern Atlantic,1979,0.997
Albacore tuna Northern Atlantic,1980,0.963
Albacore tuna Northern Atlantic,1981,0.96
Albacore tuna Northern Atlantic,1982,0.967
Albacore tuna Northern Atlantic,1983,0.954
Albacore tuna Northern Atlantic,1984,0.919
Albacore tuna Northern Atlantic,1985,0.907
Albacore tuna Northern Atlantic,1986,0.897
Albacore tuna Northern Atlantic,1987,0.871
Albacore tuna Northern Atlantic,1988,0.865
Albacore tuna Northern Atlantic,1989,0.872
Albacore tuna Northern Atlantic,1990,0.883
Albacore tuna Northern Atlantic,1991,0.884
Albacore tuna Northern Atlantic,1992,0.906
Albacore tuna Northern Atlantic,1993,0.918
Albacore tuna Northern Atlantic,1994,0.916
Albacore tuna Northern Atlantic,1995,0.921
Albacore tuna Northern Atlantic,1996,0.917
Albacore tuna Northern Atlantic,1997,0.932
Albacore tuna Northern Atlantic,1998,0.95
Albacore tuna Northern Atlantic,1999,0.978
Albacore tuna Northern Atlantic,2000,0.983
Albacore tuna Northern Atlantic,2001,0.992
Albacore tuna Northern Atlantic,2002,1.02
Albacore tuna Northern Atlantic,2003,1.05
Albacore tuna Northern Atlantic,2004,1.07
Albacore tuna Northern Atlantic,2005,1.09
Albacore tuna Northern Atlantic,2006,1.1
Albacore tuna Northern Atlantic,2007,1.1
Albacore tuna Northern Atlantic,2008,1.13
Albacore tuna Northern Atlantic,2009,1.17
Albacore tuna Northern Atlantic,2010,1.22
Albacore tuna Northern Atlantic,2011,1.26
Albacore tuna Northern Atlantic,2012,1.3
Albacore tuna Northern Atlantic,2013,1.32
Albacore tuna Northern Atlantic,2014,1.34
Japanese sardine Pacific Coast of Japan,1976,6.142919
Japanese sardine Pacific Coast of Japan,1977,8.832436
Japanese sardine Pacific Coast of Japan,1978,11.84024
Japanese sardine Pacific Coast of Japan,1979,13.76587
Japanese sardine Pacific Coast of Japan,1980,21.32516
Japanese sardine Pacific Coast of Japan,1981,24.50802
Japanese sardine Pacific Coast of Japan,1982,25.14459
Japanese sardine Pacific Coast of Japan,1983,24.18973
Japanese sardine Pacific Coast of Japan,1984,22.91659
Japanese sardine Pacific Coast of Japan,1985,27.69088
Japanese sardine Pacific Coast of Japan,1986,30.07803
Japanese sardine Pacific Coast of Japan,1987,31.03288
Japanese sardine Pacific Coast of Japan,1988,28.32745
Japanese sardine Pacific Coast of Japan,1989,19.89287
Japanese sardine Pacific Coast of Japan,1990,12.69961
Japanese sardine Pacific Coast of Japan,1991,7.241006
Japanese sardine Pacific Coast of Japan,1992,3.914918
Japanese sardine Pacific Coast of Japan,1993,2.339402
Japanese sardine Pacific Coast of Japan,1994,1.398867
Japanese sardine Pacific Coast of Japan,1995,1.203121
Japanese sardine Pacific Coast of Japan,1996,1.281101
Japanese sardine Pacific Coast of Japan,1997,1.45775
Japanese sardine Pacific Coast of Japan,1998,1.15697
Japanese sardine Pacific Coast of Japan,1999,1.115592
Japanese sardine Pacific Coast of Japan,2000,0.654078
Japanese sardine Pacific Coast of Japan,2001,0.485386
Japanese sardine Pacific Coast of Japan,2002,0.249854
Japanese sardine Pacific Coast of Japan,2003,0.192563
Japanese sardine Pacific Coast of Japan,2004,0.173466
Japanese sardine Pacific Coast of Japan,2005,0.138295
Japanese sardine Pacific Coast of Japan,2006,0.210069
Japanese sardine Pacific Coast of Japan,2007,0.179832
Japanese sardine Pacific Coast of Japan,2008,0.160734
Japanese sardine Pacific Coast of Japan,2009,0.213252
Japanese sardine Pacific Coast of Japan,2010,0.641346
Japanese sardine Pacific Coast of Japan,2011,0.975547
Japanese sardine Pacific Coast of Japan,2012,1.058301
Japanese sardine Pacific Coast of Japan,2013,1.136281
Peruvian anchoveta North-Central Peruvian coast,1963,2.147147
Peruvian anchoveta North-Central Peruvian coast,1964,1.696697
Peruvian anchoveta North-Central Peruvian coast,1965,2.027027
Peruvian anchoveta North-Central Peruvian coast,1966,2.102102
Peruvian anchoveta North-Central Peruvian coast,1967,2.057057
Peruvian anchoveta North-Central Peruvian coast,1968,2.012012
Peruvian anchoveta North-Central Peruvian coast,1969,2.747748
Peruvian anchoveta North-Central Peruvian coast,1970,2.522523
Peruvian anchoveta North-Central Peruvian coast,1971,2.312312
Peruvian anchoveta North-Central Peruvian coast,1972,1.321321
Peruvian anchoveta North-Central Peruvian coast,1973,0.495495
Peruvian anchoveta North-Central Peruvian coast,1974,0.554054
Peruvian anchoveta North-Central Peruvian coast,1975,0.602102
Peruvian anchoveta North-Central Peruvian coast,1976,0.612613
Peruvian anchoveta North-Central Peruvian coast,1977,0.460961
Peruvian anchoveta North-Central Peruvian coast,1978,0.412913
Peruvian anchoveta North-Central Peruvian coast,1979,0.445946
Peruvian anchoveta North-Central Peruvian coast,1980,0.516517
Peruvian anchoveta North-Central Peruvian coast,1981,0.585586
Peruvian anchoveta North-Central Peruvian coast,1982,0.394895
Peruvian anchoveta North-Central Peruvian coast,1983,0.600601
Peruvian anchoveta North-Central Peruvian coast,1984,0.804805
Peruvian anchoveta North-Central Peruvian coast,1985,1.010511
Peruvian anchoveta North-Central Peruvian coast,1986,0.463964
Peruvian anchoveta North-Central Peruvian coast,1987,0.171171
Peruvian anchoveta North-Central Peruvian coast,1988,0.972973
Peruvian anchoveta North-Central Peruvian coast,1989,0.677177
Peruvian anchoveta North-Central Peruvian coast,1990,0.621622
Peruvian anchoveta North-Central Peruvian coast,1991,0.933934
Peruvian anchoveta North-Central Peruvian coast,1992,0.924925
Peruvian anchoveta North-Central Peruvian coast,1993,0.51952
Peruvian anchoveta North-Central Peruvian coast,1994,1.412913
Peruvian anchoveta North-Central Peruvian coast,1995,1.141141
Peruvian anchoveta North-Central Peruvian coast,1996,1.087087
Peruvian anchoveta North-Central Peruvian coast,1997,1.561562
Peruvian anchoveta North-Central Peruvian coast,1998,0.614114
Peruvian anchoveta North-Central Peruvian coast,1999,0.911411
Peruvian anchoveta North-Central Peruvian coast,2000,1.531532
Peruvian anchoveta North-Central Peruvian coast,2001,1.831832
Peruvian anchoveta North-Central Peruvian coast,2002,1.681682
Peruvian anchoveta North-Central Peruvian coast,2003,1.453453
Peruvian anchoveta North-Central Peruvian coast,2004,1.831832
Peruvian anchoveta North-Central Peruvian coast,2005,2.072072
Peruvian anchoveta North-Central Peruvian coast,2006,1.301802
Peruvian anchoveta North-Central Peruvian coast,2007,1.516517
Peruvian anchoveta North-Central Peruvian coast,2008,1.771772
Peruvian anchoveta North-Central Peruvian coast,2009,1.324324
Peruvian anchoveta North-Central Peruvian coast,2010,1.318318
Peruvian anchoveta North-Central Peruvian coast,2011,1.726727
Peruvian anchoveta North-Central Peruvian coast,2012,1.546547
Peruvian anchoveta North-Central Peruvian coast,2013,1.966967
Peruvian anchoveta North-Central Peruvian coast,2014,0.996997
Peruvian anchoveta North-Central Peruvian coast,2015,1.531532
Red snapper Southern Atlantic coast,1955,2.523474
Red snapper Southern Atlantic coast,1956,2.494131
Red snapper Southern Atlantic coast,1957,2.457453
Red snapper Southern Atlantic coast,1958,2.384096
Red snapper Southern Atlantic coast,1959,2.310739
